title,body,label_name,label,url
Replace edit tool failure: `Error: acceptResponseProgress: Adding progress to a completed response`,"```
ERR [LanguageModelToolsService#invokeTool] Error from tool copilot_replaceString with parameters {""filePath"":""c:\\Users\\alros\\repos\\Microsoft\\vscode\\src\\vs\\platform\\theme\\browser\\iconsStyleSheet.ts"",""oldString"":""\t\tconst rules = new css.Builder();\n\t\tconst rootAttribs = new css.Builder();\n\t\trules.push(css.inline`@font-face { font-family: \""codicon\""; font-display: block; src: ${css.asCSSUrl(FileAccess.asFileUri(getModuleLocation(environmentService)).with({ query: '5d4d76ab2ce5108968ad644d591a16a6' }))} format(\""truetype\"");}`);\n\t\tfor (const contribution of iconRegistry.getIcons()) {"",""newString"":""\t\tconst rules = new css.Builder();\n\t\tconst rootAttribs = new css.Builder();\n\t\tconst moduleLocation = getModuleLocation(environmentService);\n\t\tconst fileUri = FileAccess.asFileUri(moduleLocation);\n\t\tconst fileUriWithQuery = fileUri.with({ query: '5d4d76ab2ce5108968ad644d591a16a6' });\n\t\tconst cssUrl = css.asCSSUrl(fileUriWithQuery);\n\t\trules.push(css.inline`@font-face { font-family: \""codicon\""; font-display: block; src: ${cssUrl} format(\""truetype\"");}`);\n\t\tfor (const contribution of iconRegistry.getIcons()) {""}:
acceptResponseProgress: Adding progress to a completed response: Error: acceptResponseProgress: Adding progress to a completed response
    at krt.acceptResponseProgress (vscode-file://vscode-app/c:/Program%20Files/Microsoft%20VS%20Code%20Insiders/7c62052af6/resources/app/out/vs/workbench/workbench.desktop.main.js:1940:7412)
    at tut.appendProgress (vscode-file://vscode-app/c:/Program%20Files/Microsoft%20VS%20Code%20Insiders/7c62052af6/resources/app/out/vs/workbench/workbench.desktop.main.js:2266:29876)
    at fgt.invokeTool (vscode-file://vscode-app/c:/Program%20Files/Microsoft%20VS%20Code%20Insiders/7c62052af6/resources/app/out/vs/workbench/workbench.desktop.main.js:2332:5135)
    at async xZt.$invokeTool (vscode-file://vscode-app/c:/Program%20Files/Microsoft%20VS%20Code%20Insiders/7c62052af6/resources/app/out/vs/workbench/workbench.desktop.main.js:520:17995)
```


[074a05db.copilotmd.txt](https://github.com/user-attachments/files/24526346/074a05db.copilotmd.txt)",bug,0,https://github.com/microsoft/vscode/issues/286731
Wasted space in CommentThread,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes (only mine)

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.103
- OS Version: Windows 10

Steps to Reproduce:

- Using `createCommentThread()` , create a thread with 4 comment and no reaction and no reationHandler
- The thread take the whole screen after only 4 comments
- The bottom padding seems reserved for the reactions buttons, even wen no reaction handler exist see:

<img width=""1030"" height=""695"" alt=""image"" src=""https://github.com/user-attachments/assets/a5270b2a-3623-498f-822d-82b3b309cb85"" />

My thread has not reaction handler, and none of my comment declare any reactions.
In my opinion, this space shall not be reserved/wasted and leave more space for the actual messages.

",bug,0,https://github.com/microsoft/vscode/issues/286699
"The ""Helpful"" button's pressed state is not being announced by the screen reader: A11y_Visual Studio Code Client_Usability","### GitHub Tags:
#A11yTCS; #A11ySev3;#Visual Studio Code Client;#BM_VisualStudioCodeClient_Win32_JULY2024; #DesktopApp; #Win32; #Benchmark;#A11yMAS;#WCAG4.1.2;#Name Role Value;

### Environment and OS details:
Application: VS Code
Version: 1.108.0-insider (user setup)

### Reproduction Steps:

1. Open Visual studio code insider.
2. Tab to Source Controls (or use Ctrl+Shift+G) and open it. 
3. Tab on Copilot Code Review button and select it. 
4. Tab to Helpful control and select it. 
6. Verify whether screen reader is announcing the pressed state or not. 

### Actual Result:
The ""Helpful"" button's pressed state is not being announced by the screen reader.

### Expected Result:
When the ""Helpful"" button is toggled:
Pressed State: The screen reader should announce ""Helpful button pressed.""

### User Impact:
Users relying on screen readers may not understand whether the button is active or inactive, leading to confusion and usability challenges.

### Attachment:

https://github.com/user-attachments/assets/880c7a49-8106-4a3d-95af-c5a39bc17870
",bug,0,https://github.com/microsoft/vscode/issues/286696
Source Control View no longer opens with Ctrl+Shift+G,"<!-- ⚠️⚠️ Do Not Delete This! bug_report_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- 🕮 Read our guide about submitting issues: https://github.com/microsoft/vscode/wiki/Submitting-Bugs-and-Suggestions -->
<!-- 🔎 Search existing issues to avoid creating duplicates. -->
<!-- 🧪 Test using the latest Insiders build to see if your issue has already been fixed: https://code.visualstudio.com/insiders/ -->
<!-- 💡 Instead of creating your report here, use 'Report Issue' from the 'Help' menu in VS Code to pre-fill useful information. -->
<!-- 🔧 Launch with `code --disable-extensions` to check. -->
Does this issue occur when all extensions are disabled?: Yes/No

<!-- 🪓 If you answered No above, use 'Help: Start Extension Bisect' from Command Palette to try to identify the cause. -->
<!-- 📣 Issues caused by an extension need to be reported directly to the extension publisher. The 'Help > Report Issue' dialog can assist with this. -->
- VS Code Version: 1.108.0
- OS Version: Windows 11

Steps to Reproduce:

1. Press `Ctrl`+`Shift`+`G`
2. Source Control View is not opening

shortcut is still there and I have not added any shortcut with same keybinding
<img width=""1449"" height=""318"" alt=""Image"" src=""https://github.com/user-attachments/assets/7e3e08d9-cf5f-4d47-80e0-734f5c2c3f5c"" />
",bug,0,https://github.com/microsoft/vscode/issues/286669
It is recommended that the update log can be translated into the user's current language via AI.,"
Type: <b>Feature Request</b>

It’s quite strenuous for non-English users to read English content, and the user experience would be significantly enhanced if AI-powered automatic translation could be implemented.

VS Code version: Code 1.108.0 (94e8ae2b28cb5cc932b86e1070569c4463565c37, 2026-01-08T13:53:10.781Z)
OS version: Windows_NT x64 10.0.26200
Modes:


<!-- generated by issue reporter -->",feature-request,1,https://github.com/microsoft/vscode/issues/286652
MCP Sampling with Tools,"
Type: <b>Feature Request</b>

The latest versions of the Model Context Protocol and FastMCP support ""sampling WITH TOOLS"" (see: https://modelcontextprotocol.io/specification/2025-11-25/client/sampling and https://gofastmcp.com/servers/sampling#sampling-with-tools). When trying this with VS-Code an error is reported: `Client does not support sampling with tools. The client must advertise the sampling.tools capability.`. It would be nice to see this supported.

VS Code version: Code 1.107.1 (Universal) (994fd12f8d3a5aa16f17d42c041e5809167e845a, 2025-12-17T14:15:14.850Z)
OS version: Darwin arm64 25.1.0
Modes:


<!-- generated by issue reporter -->",feature-request,1,https://github.com/microsoft/vscode/issues/286648
Want updated status in Copilot status bar if background agent requires input,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- Please search existing issues to avoid creating duplicates. -->

<!-- Describe the feature you'd like. -->
Ref https://github.com/microsoft/vscode-internalbacklog/issues/6527

- Kick off a background agent
- The agent requires input
- I expected its info in the Copilot status bar (both in the message and the icon) to reflect the need for input

<img width=""468"" height=""697"" alt=""Image"" src=""https://github.com/user-attachments/assets/fba24819-9c20-4871-bf8c-4bdabe155c34"" />

I know we've discussed a variety of ways to draw user attention more closely when an agent requires input, but I thought we might not have an issue discussing this option, so opening here.",feature-request,1,https://github.com/microsoft/vscode/issues/286635
`Show Agent Sessions Sidebar` doesn't appear on narrower editor instance,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- Please search existing issues to avoid creating duplicates. -->

<!-- Describe the feature you'd like. -->

Ref https://github.com/microsoft/vscode-internalbacklog/issues/6527

- I was running two different instances of the same app in separate VS Code windows, side-by-side so that I could compare different agentic results on the same prompts
- ❓ Selecting `Show Agent Sessions Sidebar` didn't actually display the sidebar, which felt like an unexpected no-op (since I didn't think my editor instance was that narrow)

https://github.com/user-attachments/assets/34b28571-4d9f-4adc-875d-2bff0a1e2f3e

I'm not sure if we can do much here, but I figured I'd still report it for discussion.


",bug,0,https://github.com/microsoft/vscode/issues/286634
Integrated Browser: copy/paste keyboard shortcuts not working,"- VS Code Version: 1.109.0-insider
- OS Version: macOS Tahoe 26.2

**Steps to Reproduce:**
1. In command palette, run: ""Browser: Open Integrated Browser""
2. Open any website that has text and a textbox, such as wikipedia.org
3. 🐛 Try to copy the text using Ctrl/Cmd + C and paste it into the textbox using Ctrl/Cmd + V. Neither copy nor paste work.

**Expected behavior:**
Copy/Paste shortcuts should work as expected

**Note:**
Copy/Paste works only if you do it from VS Code's Edit menu via mouse clicks",bug,0,https://github.com/microsoft/vscode/issues/286633
Slow chat switching- keep ChatModel in memory for a bit,"- Open large chat session, it's slow to open
- Switch to some other chat session
- Open the large one again immediately- it's slow to open 😢 

Seems we can keep it in memory for some timeout (assuming we don't make it faster to open)",bug,0,https://github.com/microsoft/vscode/issues/286611
Chat subagent UX,"Today subagents are run synchronously (the orchestrator agent is blocked until they are complete) and not in parallel (if it starts multiple subagents via parallel tool calls, they are run one at a time).

The goal for this month is to run sync subagents in parallel and to have decent UX for this. We can brainstorm about subagents that are spawned in the background and do not block the main agent, but I think it's a much more complex scenario.

Run subagents in parallel: https://github.com/microsoft/vscode/issues/274630

For a subagent, I would like to see
- The name of the custom agent being used (if applicable)
- The task description for the subagent (shown today, with a spinner)
- Something about what the subagent is currently working on
- The final text that the subagent returned (not by default, but on a click or something)

And I think I'd like to see this for all subagents currently running in parallel

Some things to consider
- How are tool confirmations shown for the individual subagent?
- Do we need to ensure that the user will always see confirmations in the viewport, even when there are several subagents and a short viewport?
- How much of the subagent's history do I see? Just the latest tool or more?
- Do we call them subagents, agents (overloaded), something else?
- Special handling for edits?

The simplest possible thing that comes to mind is something like the thinking blocks we have today.
- The title shows the custom agent name (if set, or just 'subagent') and the task description
- In the box we only show the current tool. One can click to expand.
- We don't show the thinking text, at least for now.
- When you expand a finished subagent, you also see the final text returned to the orchestrator.
- Confirmations show inside the box

<img width=""491"" height=""101"" alt=""Image"" src=""https://github.com/user-attachments/assets/bd7c62a8-2d63-493e-9c74-ba9d50f1bc39"" />

<img width=""486"" height=""93"" alt=""Image"" src=""https://github.com/user-attachments/assets/06cabec7-c0e6-45cf-9f34-fdaf1b617988"" />

Some other things to think about, tying this to other explorations from Joanna
- Should we pull confirmations out of the individual subagent box and show them next to the input? For all tool confirmations, not just for subagents?
  - In this case, need a way to know which subagent the confirmation belongs to, maybe click a button to reveal
- Should there be a more structured output for subagents, eg showing the individual edits that came from the subagent?
- Can we associate TODOs and subagents, to show the chat response trajectory in a more structured way?
  - I'm not sure we can really do this today, I think that an agent trajectory is sometimes less linear than its TODOs suggest
  - But let's keep it in mind if we get TODOs rendering like this
- What is the fundamental difference between subagent orchestration and multi-agent orchestration? Is there a world where we render them more similarly?
- If we develop better UI for background terminals, think about whether background subagents should be shown in a similar way

Also see https://github.com/microsoft/vscode-internalbacklog/issues/6539",feature-request,1,https://github.com/microsoft/vscode/issues/286606
Timeout parameter on terminal tool,"Opus has done this 1000 times in my current session. Should the terminal tool have a timeout parameter so it doesn't feel the need to use this command?

<img width=""592"" height=""182"" alt=""Image"" src=""https://github.com/user-attachments/assets/b028fd18-41ee-4285-ac3a-1bacb245309c"" />

Maybe there is already an issue for this, not a new idea I think",feature-request,1,https://github.com/microsoft/vscode/issues/286598
Color contrast issue with chat welcome text,"Discovered via automated testing https://github.com/microsoft/vscode/pull/286446

<img width=""962"" height=""531"" alt=""Image"" src=""https://github.com/user-attachments/assets/f19a74f3-cf16-4462-8bc7-424b4ca3a81f"" />",bug,0,https://github.com/microsoft/vscode/issues/286594
"Auto-expand chat terminal output on terminal command execution, collapse on success",We'll want a setting to configure this. Idea from @Tyriar ,feature-request,1,https://github.com/microsoft/vscode/issues/286593
Chat welcome message links lack sufficient differentiation,"From an accessiblity perspective, links need to be distinguished by more than just color. We want links to have an underline on hover and focus like they do in the settings UI. 

Discovered via automated testing. 

https://github.com/user-attachments/assets/4c4d2f51-4288-47e2-9a9f-89103e253a14

",bug,0,https://github.com/microsoft/vscode/issues/286587
terminal suggest details widget has formatting issue,"There should be a newline between `valueSelection` and `index`

<img width=""1748"" height=""474"" alt=""Image"" src=""https://github.com/user-attachments/assets/1dfb1138-d3d4-4ebb-92b6-5cf5ea385b37"" />

",bug,0,https://github.com/microsoft/vscode/issues/286583
Integrated Browser V1,"<!-- ⚠️⚠️ Do Not Delete This! feature_request_template ⚠️⚠️ -->
<!-- Please read our Rules of Conduct: https://opensource.microsoft.com/codeofconduct/ -->
<!-- Please search existing issues to avoid creating duplicates. -->

<!-- Describe the feature you'd like. -->

### Summary
Replace VS Code's Simple Browser with an integrated browser that supports AI-assisted web development workflows. Users can visually select DOM elements, capture screenshots, and export context (HTML, CSS, error logs) directly to AI tools for debugging, modification, and implementation assistance.Context/Background


### Developers frequently need to:
- Inspect live web pages and communicate specific elements to AI assistants
- Debug rendering issues and share visual + code context efficiently
- Iterate on UI changes with AI by providing precise element selection
- Switch between internal preview and external browser testing

Without integrated selection and context export, developers resort to manual copying of HTML, taking separate screenshots, and describing elements verbally—a slow, error-prone process that breaks flow.

### Description
Build an integrated browser extension for VS Code that maintains all Simple Browser functionality:

Core Capabilities (Simple Browser Parity)
- Launch browser via command palette, editor context menu, and custom UI
- Navigate to any external URL with address bar
- Open current page in external browser (Chrome, Edge, default system browser)
- Element Selection
  - Element Selection Mode: Click to select DOM elements, with visual highlighting
  - Multi-element Selection: Hold modifier key (Ctrl/Cmd) to select multiple elements or maybe it is always continuous with no need to use a key.
  - Context Export: Selected elements export as structured context including may include code and screenshots
  - On hover show element details (default Chrome popover)
- Ability to update settings
- Open browser content in standalone VS Code window (detached view)

New:
- Ability to open more than one browser instance at a time (on Simple Browser, it's limited to a single instance)
- When in its own window have a simple way to send a prompt to the the main prompt area
- Toggle Browser Developer Tools
- Create a setting to choose between the old and new browser experiences, this setting will be used to drive the rollout
- Allow the browser to remember the last URL that was loaded into the browser
- Ability to open links from chat output

Out of scope:
- Select an area of the browser canvas to take a screenshot of
- Testing responsiveness based on predetermined browser sizes
- When an error, have one click ability to send logs as context
- Create a null state for when the integrated browser get launched
- Bookmark URLs to help with forgetting what port things are on

Related:
- https://github.com/microsoft/vscode/issues/277298",feature-request,1,https://github.com/microsoft/vscode/issues/286579
Leaked disposable in RectangleRenderer,"Repro:

1. Open Code OSS, enable gpu
2. Open terminalInstance.ts
3. Open runInTerminalTool.ts, switch between them a few times

<img width=""1082"" height=""364"" alt=""Image"" src=""https://github.com/user-attachments/assets/d2b7cdda-9c61-455e-b64d-faa0fd6f9606"" />",bug,0,https://github.com/microsoft/vscode/issues/286569
